Category,Datasource,Frequency,WA,ID,Description
PerformanceCollection,'\\SQLServer:Databases(_Total)\\Transactions/sec',900,WA:SC!Microsoft.SystemCenter.CollectPerformanceData,Microsoft.SQLServer.Windows.CollectionRule.Database.TransactionsPerSec,SQL on Windows DBs Transactions per second performance collection rule
PerformanceCollection,'\\SQLServer:Locks(_Total)\\Average Wait Time (ms)',900,WA:SC!Microsoft.SystemCenter.CollectPerformanceData,Microsoft.SQLServer.Windows.CollectionRule.DBEngine.AverageWaitTime,Collects the average wait time in milliseconds.
PerformanceCollection,'\\SQLServer:Buffer Manager(_Total)\\Buffer cache hit ratio',900,WA:SC!Microsoft.SystemCenter.CollectPerformanceData,Microsoft.SQLServer.Windows.CollectionRule.DBEngine.BufferCacheHitRatio,Collects the Windows "Buffer Cache Hit Ratio" performance counter for each instance of SQL DB Engine on Windows.
PerformanceCollection,'\\SQLServer:HTTP Storage(_Total)\\Avg. Bytes/Read',900,WA:SC!Microsoft.SystemCenter.CollectPerformanceData,Microsoft.SQLServer.Windows.CollectionRule.DBEngine.HTTPStorage_AvgBytesRead,Collects the "HTTP Storage: Average Bytes/Read" performance counter for SQL DB Engine that monitor Microsoft Azure Storage account.
PerformanceCollection,'\\SQLServer:HTTP Storage(_Total)\\Avg. Bytes/Transfer',900,WA:SC!Microsoft.SystemCenter.CollectPerformanceData,Microsoft.SQLServer.Windows.CollectionRule.DBEngine.HTTPStorage_AvgBytesTransfer,Collects the "HTTP Storage: Average Bytes/Transfer" performance counter for SQL DB Engine that monitor Microsoft Azure Storage account.
PerformanceCollection,'\\SQLServer:HTTP Storage(_Total)\\Avg. Bytes/Write',900,WA:SC!Microsoft.SystemCenter.CollectPerformanceData,Microsoft.SQLServer.Windows.CollectionRule.DBEngine.HTTPStorage_AvgBytesWrite,Collects the "HTTP Storage: Average Bytes/Write" performance counter for SQL DB Engine that monitor Microsoft Azure Storage account.
PerformanceCollection,'\\SQLServer:HTTP Storage(_Total)\\Avg. microsec/Read',900,WA:SC!Microsoft.SystemCenter.CollectPerformanceData,Microsoft.SQLServer.Windows.CollectionRule.DBEngine.HTTPStorage_AvgMicrosecRead,Collects the "HTTP Storage: Average Microseconds/Read" performance counter for SQL DB Engine that monitor Microsoft Azure Storage account.
PerformanceCollection,'\\SQLServer:HTTP Storage(_Total)\\Avg. microsec/Read Comp',900,WA:SC!Microsoft.SystemCenter.CollectPerformanceData,Microsoft.SQLServer.Windows.CollectionRule.DBEngine.HTTPStorage_AvgMicrosecReadComp,Collects the "HTTP Storage: Average Microseconds/Read Comp" performance counter for SQL DB Engine that monitor Microsoft Azure Storage account.
PerformanceCollection,'\\SQLServer:HTTP Storage(_Total)\\Avg. microsec/Transfer',900,WA:SC!Microsoft.SystemCenter.CollectPerformanceData,Microsoft.SQLServer.Windows.CollectionRule.DBEngine.HTTPStorage_AvgMicrosecTransfer,Collects the "HTTP Storage: Average Microseconds/Transfer" performance counter for SQL DB Engine that monitor Microsoft Azure Storage account.
PerformanceCollection,'\\SQLServer:HTTP Storage(_Total)\\Avg. microsec/Write',900,WA:SC!Microsoft.SystemCenter.CollectPerformanceData,Microsoft.SQLServer.Windows.CollectionRule.DBEngine.HTTPStorage_AvgMicrosecWrite,Collects the "HTTP Storage: Average Microseconds/Write" performance counter for SQL DB Engine that monitor Microsoft Azure Storage account.
PerformanceCollection,'\\SQLServer:HTTP Storage(_Total)\\Avg. microsec/Write Comp',900,WA:SC!Microsoft.SystemCenter.CollectPerformanceData,Microsoft.SQLServer.Windows.CollectionRule.DBEngine.HTTPStorage_AvgMicrosecWriteComp,Collects the "HTTP Storage: Average Microseconds/Write Comp" performance counter for SQL DB Engine that monitor Microsoft Azure Storage account.
PerformanceCollection,'\\SQLServer:HTTP Storage(_Total)\\HTTP Storage IO failed/sec',900,WA:SC!Microsoft.SystemCenter.CollectPerformanceData,Microsoft.SQLServer.Windows.CollectionRule.DBEngine.HTTPStorage_HttpStorageIoFailedSec,Collects the "HTTP Storage: HTTP Storage I/O Failed per Second" performance counter for SQL DB Engine that monitor Microsoft Azure Storage account.
PerformanceCollection,'\\SQLServer:HTTP Storage(_Total)\\HTTP Storage IO retry/sec',900,WA:SC!Microsoft.SystemCenter.CollectPerformanceData,Microsoft.SQLServer.Windows.CollectionRule.DBEngine.HTTPStorage_HttpStorageIoRetrySec,Collects the "HTTP Storage: HTTP Storage I/O Retry per Second" performance counter for SQL DB Engine that monitor Microsoft Azure Storage account.
PerformanceCollection,'\\SQLServer:HTTP Storage(_Total)\\Outstanding HTTP Storage IO',900,WA:SC!Microsoft.SystemCenter.CollectPerformanceData,Microsoft.SQLServer.Windows.CollectionRule.DBEngine.HTTPStorage_OutstandingHttpStorageIo,Collects the "HTTP Storage: Outstanding HTTP Storage I/O" performance counter for SQL DB Engine that monitor Microsoft Azure Storage account.
PerformanceCollection,'\\SQLServer:HTTP Storage(_Total)\\Read Bytes/Sec',900,WA:SC!Microsoft.SystemCenter.CollectPerformanceData,Microsoft.SQLServer.Windows.CollectionRule.DBEngine.HTTPStorage_ReadBytesSec,Collects the "HTTP Storage: Read Bytes per Second" performance counter for SQL DB Engine that monitor Microsoft Azure Storage account.
PerformanceCollection,'\\SQLServer:HTTP Storage(_Total)\\Reads/Sec',900,WA:SC!Microsoft.SystemCenter.CollectPerformanceData,Microsoft.SQLServer.Windows.CollectionRule.DBEngine.HTTPStorage_ReadsSec,Collects the "HTTP Storage: Reads per Second" performance counter for SQL DB Engine that monitor Microsoft Azure Storage account.
PerformanceCollection,'\\SQLServer:HTTP Storage(_Total)\\Total Bytes/Sec',900,WA:SC!Microsoft.SystemCenter.CollectPerformanceData,Microsoft.SQLServer.Windows.CollectionRule.DBEngine.HTTPStorage_TotalBytesSec,Collects the "HTTP Storage: Total Bytes per Second" performance counter for SQL DB Engine that monitor Microsoft Azure Storage account.
PerformanceCollection,'\\SQLServer:HTTP Storage(_Total)\\Transfers/Sec',900,WA:SC!Microsoft.SystemCenter.CollectPerformanceData,Microsoft.SQLServer.Windows.CollectionRule.DBEngine.HTTPStorage_TransfersSec,Collects the "HTTP Storage: Transfers per Second" performance counter for SQL DB Engine that monitor Microsoft Azure Storage account.
PerformanceCollection,'\\SQLServer:HTTP Storage(_Total)\\Write Bytes/Sec',900,WA:SC!Microsoft.SystemCenter.CollectPerformanceData,Microsoft.SQLServer.Windows.CollectionRule.DBEngine.HTTPStorage_WriteBytesSec,Collects the "HTTP Storage: Write Bytes per Second" performance counter for SQL DB Engine that monitor Microsoft Azure Storage account.
PerformanceCollection,'\\SQLServer:HTTP Storage(_Total)\\Writes/Sec',900,WA:SC!Microsoft.SystemCenter.CollectPerformanceData,Microsoft.SQLServer.Windows.CollectionRule.DBEngine.HTTPStorage_WritesSec,Collects the "HTTP Storage: Writes per Second" performance counter for SQL DB Engine that monitor Microsoft Azure Storage account.
PerformanceCollection,'\\SQLServer:Locks(_Total)\\Lock Requests/sec',900,WA:SC!Microsoft.SystemCenter.CollectPerformanceData,Microsoft.SQLServer.Windows.CollectionRule.DBEngine.LockRequestsPerSecond,Collects the Windows "Number of Lock Requests per Second" performance counter for each instance of SQL DB Engine on Windows.
